,Date,DOY,U,Ta,RH min,ETo,hc,growth_stage,Rz,TAW,MAD,RAW,dMAD,Kcb_daily,Kcmax,TEW,REW,fc,few,Precip,Irr,Di_start,Kr,Ke,fewKcmax,Ks,Kco,KeETo,ETa,DP,Di_end,irrigate
0,2005-05-15,135,1.22,32.91,34.28,4.84,0.02,ini,0.15,13.590000000000003,0.5,6.795000000000002,6.795000000000002,0.15,1.204184795972684,12,7,0.0,1.0,0.0,0.0,0.0,1.0,1.054184795972684,1.204184795972684,1.0,1.204184795972684,5.10225441250779,5.82825441250779,0.0,5.82825441250779,not yet
1,2005-05-16,136,1.19,35.88,35.35,5.35,0.03,ini,0.16,14.496000000000004,0.5,7.248000000000002,7.248000000000002,0.15,1.2022213814238563,12,7,0.0,1.0,0.0,18.7,5.82825441250779,1.0,1.0522213814238564,1.2022213814238563,1.0,1.2022213814238563,5.6293843906176315,6.431884390617631,6.439861196874578,0.0,not yet
2,2005-05-17,137,1.06,35.97,39.8,5.35,0.04,ini,0.16999999999999998,15.402000000000003,0.5,7.701000000000001,7.701000000000001,0.15,1.1939807729160026,12,7,0.0,1.0,0.0,0.0,0.0,1.0,1.0439807729160027,1.1939807729160026,1.0,1.1939807729160026,5.585297135100614,6.387797135100613,0.0,6.387797135100613,not yet
3,2005-05-18,138,1.65,35.21,42.21,5.35,0.05,ini,0.18,16.308000000000003,0.5,8.154000000000002,8.154000000000002,0.15,1.1989824639929432,12,7,0.0,1.0,0.0,10.1,6.387797135100613,1.0,1.0489824639929433,1.1989824639929432,1.0,1.1989824639929432,5.612056182362246,6.4145561823622455,0.0,2.70235331746286,not yet
4,2005-05-19,139,1.71,30.63,58.68,4.33,0.07,ini,0.19,17.214000000000006,0.5,8.607000000000003,8.607000000000003,0.15,1.176238384511267,12,7,0.0,1.0,0.0,19.3,2.70235331746286,1.0,1.026238384511267,1.176238384511267,1.0,1.176238384511267,4.443612204933786,5.093112204933786,11.504534477603354,0.0,not yet
5,2005-05-20,140,1.52,24.28,77.38,3.83,0.08,ini,0.19999999999999998,18.120000000000005,0.5,9.060000000000002,9.060000000000002,0.15,1.146715508813565,12,7,0.0,1.0,0.0,0.0,0.0,1.0,0.996715508813565,1.146715508813565,1.0,1.146715508813565,3.817420398755954,4.391920398755954,0.0,4.391920398755954,not yet
6,2005-05-21,141,0.97,19.73,97.86,2.81,0.09,ini,0.21,19.026000000000003,0.5,9.513000000000002,9.513000000000002,0.15,1.1094822898511234,12,7,0.0,1.0,0.0,0.0,4.391920398755954,1.0,0.9594822898511234,1.1094822898511234,1.0,1.1094822898511234,2.6961452344816568,3.1176452344816568,0.0,7.509565633237611,not yet
7,2005-05-22,142,0.93,20.17,97.31,1.03,0.1,ini,0.21999999999999997,19.932000000000002,0.5,9.966000000000001,9.966000000000001,0.15,1.1096972622469803,12,7,0.0,1.0,0.0,0.0,7.509565633237611,0.8980868733524778,0.8618915136163234,1.1096972622469803,1.0,1.0118915136163233,0.8877482590248131,1.042248259024813,0.0,8.551813892262423,not yet
8,2005-05-23,143,1.09,23.63,74.55,2.81,0.1,ini,0.22999999999999998,20.838000000000005,0.5,10.419000000000002,10.419000000000002,0.15,1.144608779334166,12,7,0.0,1.0,0.0,23.3,8.551813892262423,0.6896372215475154,0.68591923510678,1.144608779334166,1.0,0.83591923510678,1.9274330506500519,2.348933050650052,12.399253057087526,0.0,not yet
9,2005-05-24,144,1.49,21.13,75.96,3.32,0.1,ini,0.24,21.744000000000003,0.5,10.872000000000002,10.872000000000002,0.15,1.1483206360359643,12,7,0.0,1.0,0.0,0.0,0.0,1.0,0.9983206360359643,1.1483206360359643,1.0,1.1483206360359643,3.3144245116394013,3.8124245116394015,0.0,3.8124245116394015,not yet
